setting,protocol,protocol_label,method,method_label,n,f1_mean,f1_std,recall_mean,recall_std,fpr_mean,fpr_std,ece_mean,ece_std,brier_mean,brier_std
main,weak_temporal_ood,Weak Temporal OOD,noisy_ce,Noisy-CE,5,0.8743723209095892,0.006701539506113015,0.8206467661691542,0.028598852407929223,0.11024390243902439,0.05146283666303583,0.17591120898723603,0.021723952116714285,0.14904225766658782,0.012272812387743855
main,weak_temporal_ood,Weak Temporal OOD,cdro_fixed,CDRO-Fixed,5,0.8674557718003076,0.01692739509485527,0.8084577114427861,0.03743760433654828,0.10780487804878049,0.05433060275933576,0.18837396800518036,0.025121875245049375,0.16477336585521699,0.015524941507427257
main,weak_temporal_ood,Weak Temporal OOD,cdro_ug,CDRO-UG (sw0),5,0.8627689801002675,0.01350725401721806,0.7930348258706468,0.027834031304874374,0.08829268292682926,0.04187031336146778,0.1818840503692627,0.009444001875451505,0.15842491388320923,0.014645309037780621
main,weak_topology_ood,Weak Topology OOD,noisy_ce,Noisy-CE,5,0.9034821141765979,0.019373614209950884,0.9271084337349398,0.018798173224855354,0.19353348729792147,0.08660354117184135,0.17143506556749344,0.08135825312479482,0.11500604748725891,0.015942684723392622
main,weak_topology_ood,Weak Topology OOD,cdro_fixed,CDRO-Fixed,5,0.9006570334190418,0.013064408159450093,0.9216867469879518,0.018990241284515798,0.19214780600461895,0.05419630047048508,0.15282090604305268,0.04596859936426454,0.11838723570108414,0.024686688389223523
main,weak_topology_ood,Weak Topology OOD,cdro_ug,CDRO-UG (sw0),5,0.8962085403481899,0.02828267236412422,0.9195783132530121,0.015780948069192443,0.2069284064665127,0.12608938382718513,0.1713369756937027,0.0883457379419618,0.12078621238470078,0.015321907545482768
main,weak_attack_strategy_ood,Weak Attack-Strategy OOD,noisy_ce,Noisy-CE,5,0.8630191792933429,0.0782948773401253,1.0,0.0,0.38475750577367207,0.27122545795692543,0.21095263659954072,0.07855097937708254,0.08269373476505279,0.03025464630072905
main,weak_attack_strategy_ood,Weak Attack-Strategy OOD,cdro_fixed,CDRO-Fixed,5,0.8617297406758154,0.04979748207039249,0.9995983935742971,0.0008980192680722159,0.37551963048498843,0.15202726483859044,0.20413667261600493,0.07191255873049036,0.08805864155292512,0.034815791897465864
main,weak_attack_strategy_ood,Weak Attack-Strategy OOD,cdro_ug,CDRO-UG (sw0),5,0.8935222239203159,0.018102294615957013,0.9995983935742971,0.0008980192680722159,0.274364896073903,0.05113270369472013,0.1772359535098076,0.08963361080870902,0.07318923696875572,0.03171441626527503
main,label_prior_shift_ood,Label-Prior Shift OOD,noisy_ce,Noisy-CE,5,0.8271380601680867,0.023762405232387426,0.7700130378096479,0.01350530812263737,0.07388137356919874,0.03378289923152534,0.19554947316646576,0.030002600825504534,0.15988528728485107,0.005675093344598331
main,label_prior_shift_ood,Label-Prior Shift OOD,cdro_fixed,CDRO-Fixed,5,0.8188733148588436,0.031115896381112694,0.760625814863103,0.019108287833701464,0.07929240374609782,0.06182235004220059,0.16312473490834237,0.10526905430838614,0.16685637533664704,0.024834104222984717
main,label_prior_shift_ood,Label-Prior Shift OOD,cdro_ug,CDRO-UG (sw0),5,0.8250079428451808,0.021960104618722342,0.7728813559322034,0.01349901340865167,0.08074921956295525,0.026310491708132547,0.190512253344059,0.07374599449636153,0.16245331168174743,0.012109603138506765
main,pooled,Pooled,noisy_ce,Noisy-CE,20,0.8670029186369042,0.047799214760477424,0.8794420594284355,0.0936410065015635,0.19060406726995416,0.18185345942703438,0.188462096080184,0.056968842253557465,0.12665683180093765,0.03537619390962965
main,pooled,Pooled,cdro_fixed,CDRO-Fixed,20,0.8621789651885021,0.041384431762102686,0.8725921667170345,0.09853273706761434,0.18869117957112141,0.14481038486231365,0.17711407039314508,0.06657135898252736,0.13451890461146832,0.041432551453212146
main,pooled,Pooled,cdro_ug,CDRO-UG (sw0),20,0.8693769218034885,0.03535175995504735,0.8712732221575399,0.09674760785229335,0.16258380125755006,0.10692383807646709,0.180242308229208,0.06745361327378895,0.1287134187296033,0.04119364658863048
