setting,protocol,protocol_label,method,method_label,n,f1_mean,f1_std,recall_mean,recall_std,fpr_mean,fpr_std,ece_mean,ece_std,brier_mean,brier_std
batch2,weak_temporal_ood,Weak Temporal OOD,noisy_ce,Noisy-CE,3,0.8847652787790931,0.01395699588496592,0.9739229024943311,0.0054669222001093795,0.3861671469740634,0.05122878626694864,0.1357405682404836,0.039367175248556874,0.11837434520324071,0.014670973996970623
batch2,weak_temporal_ood,Weak Temporal OOD,cdro_fixed,CDRO-Fixed,3,0.8875985380642596,0.01733920973549865,0.9393424036281179,0.025754686375511475,0.30067243035542746,0.066615709692933,0.18128132820129395,0.09437426205283504,0.16070877512296042,0.04244631725863302
batch2,weak_temporal_ood,Weak Temporal OOD,cdro_ug,CDRO-UG (sw0),3,0.8925646215374287,0.009883866663688168,0.9427437641723356,0.01230302404433713,0.2881844380403458,0.0649534735999115,0.21061729888121286,0.039561741504352356,0.14831304053465524,0.013030505531787279
batch2,weak_topology_ood,Weak Topology OOD,noisy_ce,Noisy-CE,3,0.9044845099645533,0.01401748031954958,0.9417637271214643,0.005999253370156429,0.24399615754082613,0.044769184237199014,0.18491453429063162,0.03835178714796371,0.15376140177249908,0.022110922555909046
batch2,weak_topology_ood,Weak Topology OOD,cdro_fixed,CDRO-Fixed,3,0.8959682067561858,0.01668765809176872,0.9256794231835829,0.05817285192546772,0.2420749279538905,0.07553511482467525,0.25622523327668506,0.049284883024888156,0.1974004258712133,0.015844170289763315
batch2,weak_topology_ood,Weak Topology OOD,cdro_ug,CDRO-UG (sw0),3,0.8877829383342415,0.00531618429110218,0.8890737659456461,0.022344134307802185,0.19692603266090297,0.031082977305213137,0.18583990633487701,0.02082216354138498,0.17848367989063263,0.020815083065585046
batch2,weak_attack_strategy_ood,Weak Attack-Strategy OOD,noisy_ce,Noisy-CE,3,0.9152320501496225,0.009297285173774223,1.0,0.0,0.19500480307396734,0.023293670803039644,0.17327003677686056,0.07256525794477775,0.07485464711983998,0.03058753591255662
batch2,weak_attack_strategy_ood,Weak Attack-Strategy OOD,cdro_fixed,CDRO-Fixed,3,0.9178852452720188,0.016934201860851122,0.9908675799086758,0.015817815594236322,0.1777137367915466,0.0576608979767874,0.2359897866845131,0.1130985035626984,0.11234270532925923,0.029667579166172412
batch2,weak_attack_strategy_ood,Weak Attack-Strategy OOD,cdro_ug,CDRO-UG (sw0),3,0.9139664261178987,0.003914267262845703,0.9990867579908675,0.0015817815594236257,0.19692603266090297,0.011646835401519836,0.14998083313306174,0.09653871993223521,0.06870657826463382,0.033489989379941784
batch2,label_prior_shift_ood,Label-Prior Shift OOD,noisy_ce,Noisy-CE,3,0.8457393662026488,0.009725797912086075,0.9636363636363636,0.018627153172867197,0.25287356321839083,0.01781011235940203,0.191723162929217,0.06679694870314716,0.1253360112508138,0.015288675510180835
batch2,label_prior_shift_ood,Label-Prior Shift OOD,cdro_fixed,CDRO-Fixed,3,0.8507456743287211,0.02514616321631185,0.9482093663911846,0.024085391729360212,0.22679045092838196,0.06667012587563294,0.2166196902592977,0.09887250794758815,0.14752008020877838,0.021983244141008815
batch2,label_prior_shift_ood,Label-Prior Shift OOD,cdro_ug,CDRO-UG (sw0),3,0.8466773467337305,0.007186957919456511,0.9366391184573003,0.02615194333070154,0.22148541114058357,0.03468619848971359,0.1839447319507599,0.06020475289517388,0.12642859667539597,0.014196114110938816
batch2,pooled,Pooled,noisy_ce,Noisy-CE,12,0.8875553012739794,0.02949808599402628,0.9698307483130397,0.02351956804100574,0.26951041770181194,0.08047577370380116,0.1714120755592982,0.05317950862275871,0.1180816013365984,0.034811090616793286
batch2,pooled,Pooled,cdro_fixed,CDRO-Fixed,12,0.8880494161052963,0.03019695176511115,0.9510246932778903,0.03917108021492888,0.23681288650731164,0.07318870365933275,0.22252900960544744,0.08364635980473033,0.15449299663305283,0.04039258227877699
batch2,pooled,Pooled,cdro_ug,CDRO-UG (sw0),12,0.8852478331808249,0.026116973653688837,0.9418858516415374,0.04363284286386016,0.22588047862568383,0.05203253552116056,0.18259569257497787,0.0567850125274062,0.13048297384132942,0.045941229112893736
