setting,comparison,scope,protocol,metric,delta_mean,p_value,significant_005
main,cdro_ug vs noisy_ce,pooled,pooled,f1,0.0023740031665843153,0.9974501274936253,0
main,cdro_ug vs noisy_ce,pooled,pooled,fpr,-0.028020266012404114,0.5530723463826809,0
main,cdro_ug vs noisy_ce,pooled,pooled,ece,-0.00821978785097599,0.6101694915254238,0
main,cdro_ug vs noisy_ce,pooled,pooled,brier,0.002056586928665638,0.7545622718864057,0
main,cdro_ug vs noisy_ce,per_protocol,weak_temporal_ood,f1,-0.011603340809321771,0.09090909090909091,0
main,cdro_ug vs noisy_ce,per_protocol,weak_temporal_ood,fpr,-0.02195121951219512,0.2727272727272727,0
main,cdro_ug vs noisy_ce,per_protocol,weak_temporal_ood,ece,0.005972841382026672,0.45454545454545453,0
main,cdro_ug vs noisy_ce,per_protocol,weak_temporal_ood,brier,0.0093826562166214,0.15151515151515152,0
main,cdro_ug vs noisy_ce,per_protocol,weak_topology_ood,f1,-0.0072735738284079865,0.21212121212121213,0
main,cdro_ug vs noisy_ce,per_protocol,weak_topology_ood,fpr,0.013394919168591217,0.6363636363636364,0
main,cdro_ug vs noisy_ce,per_protocol,weak_topology_ood,ece,-9.808987379074096e-05,0.9393939393939394,0
main,cdro_ug vs noisy_ce,per_protocol,weak_topology_ood,brier,0.005780164897441864,0.09090909090909091,0
main,cdro_ug vs noisy_ce,per_protocol,weak_attack_strategy_ood,f1,0.030503044626972932,0.7575757575757576,0
main,cdro_ug vs noisy_ce,per_protocol,weak_attack_strategy_ood,fpr,-0.11039260969976906,0.7575757575757576,0
main,cdro_ug vs noisy_ce,per_protocol,weak_attack_strategy_ood,ece,-0.03371668308973312,0.7575757575757576,0
main,cdro_ug vs noisy_ce,per_protocol,weak_attack_strategy_ood,brier,-0.009504497796297074,1.0,0
main,cdro_ug vs noisy_ce,per_protocol,label_prior_shift_ood,f1,-0.002130117322905911,0.15151515151515152,0
main,cdro_ug vs noisy_ce,per_protocol,label_prior_shift_ood,fpr,0.006867845993756505,0.2727272727272727,0
main,cdro_ug vs noisy_ce,per_protocol,label_prior_shift_ood,ece,-0.0050372198224067685,0.8787878787878788,0
main,cdro_ug vs noisy_ce,per_protocol,label_prior_shift_ood,brier,0.0025680243968963625,0.696969696969697,0
main,cdro_ug vs cdro_fixed,pooled,pooled,f1,0.007197956614986389,0.2784360781960902,0
main,cdro_ug vs cdro_fixed,pooled,pooled,fpr,-0.026107378313571364,0.21858907054647267,0
main,cdro_ug vs cdro_fixed,pooled,pooled,ece,0.003128237836062908,0.8501574921253937,0
main,cdro_ug vs cdro_fixed,pooled,pooled,brier,-0.005805485881865025,0.2919354032298385,0
main,cdro_ug vs cdro_fixed,per_protocol,weak_temporal_ood,f1,-0.0046867917000401604,0.6363636363636364,0
main,cdro_ug vs cdro_fixed,per_protocol,weak_temporal_ood,fpr,-0.019512195121951223,0.21212121212121213,0
main,cdro_ug vs cdro_fixed,per_protocol,weak_temporal_ood,ece,-0.006489917635917664,0.6363636363636364,0
main,cdro_ug vs cdro_fixed,per_protocol,weak_temporal_ood,brier,-0.006348451972007752,0.8787878787878788,0
