setting,scope,bucket_type,bucket,bucket_label,benign_total,ug_fpr,noisy_fpr,delta_fpr,delta_fp,ug_mean_prob_attack,noisy_mean_prob_attack,delta_mean_prob_attack
main,pooled,weak_bucket,abstain,Abstain,5875,0.2291063829787234,0.24680851063829787,-0.017702127659574463,-104,0.3961814393388464,0.3758322539633893,0.0203491853754571
main,pooled,weak_bucket,weak_benign,Weak benign,5050,0.006732673267326733,0.030495049504950494,-0.023762376237623763,-120,0.27055556854399126,0.2585674971401101,0.01198807140388114
main,pooled,weak_bucket,weak_attack,Weak attack,260,0.8884615384615384,0.8807692307692307,0.007692307692307665,2,0.677785889001993,0.6540282111901503,0.02375767781184268
main,pooled,group_bucket,low_rho_low_uncertainty,Low-rho / low-u,4315,0.04426419466975666,0.06326767091541136,-0.019003476245654696,-82,0.306408272806214,0.29077804516806666,0.015630227638147365
main,pooled,group_bucket,low_rho_high_uncertainty,Low-rho / high-u,3290,0.20759878419452887,0.22522796352583588,-0.017629179331307004,-58,0.39750841366846146,0.37644797675877717,0.021060436909684288
main,pooled,group_bucket,high_rho_low_uncertainty,High-rho / low-u,1860,0.07526881720430108,0.10806451612903226,-0.03279569892473118,-61,0.27897800219956265,0.2698386256412793,0.00913937655828334
main,pooled,group_bucket,high_rho_high_uncertainty,High-rho / high-u,1720,0.3470930232558139,0.35930232558139535,-0.012209302325581428,-21,0.4193269862685093,0.40041087671767833,0.01891610955083095
main,weak_temporal_ood,weak_bucket,abstain,Abstain,1000,0.162,0.201,-0.03900000000000001,-39,0.40965177154541016,0.3455661811828613,0.06408559036254885
main,weak_temporal_ood,weak_bucket,weak_benign,Weak benign,1030,0.0,0.0048543689320388345,-0.0048543689320388345,-5,0.2855884366822474,0.2242179481728563,0.06137048850939111
main,weak_temporal_ood,weak_bucket,weak_attack,Weak attack,20,0.95,1.0,-0.050000000000000044,-1,0.6521015286445617,0.7112403512001038,-0.05913882255554204
main,weak_temporal_ood,group_bucket,low_rho_low_uncertainty,Low-rho / low-u,895,0.00782122905027933,0.021229050279329607,-0.013407821229050277,-12,0.31646434421645864,0.24673832728210107,0.06972601693435757
main,weak_temporal_ood,group_bucket,low_rho_high_uncertainty,Low-rho / high-u,685,0.17372262773722627,0.21021897810218979,-0.036496350364963515,-25,0.3875106978590471,0.3348005141655024,0.05271018369354474
main,weak_temporal_ood,group_bucket,high_rho_low_uncertainty,High-rho / low-u,265,0.0,0.007547169811320755,-0.007547169811320755,-2,0.31292924701042896,0.24148501090283664,0.07144423610759232
main,weak_temporal_ood,group_bucket,high_rho_high_uncertainty,High-rho / high-u,205,0.2682926829268293,0.2975609756097561,-0.0292682926829268,-6,0.4158205730159108,0.3735256892878835,0.04229488372802731
main,weak_topology_ood,weak_bucket,abstain,Abstain,1205,0.3053941908713693,0.2854771784232365,0.01991701244813282,24,0.3380466002151679,0.3274677134153754,0.01057888679979252
main,weak_topology_ood,weak_bucket,weak_benign,Weak benign,895,0.01899441340782123,0.0111731843575419,0.00782122905027933,7,0.21843540575251233,0.2206319563881645,-0.0021965506356521614
main,weak_topology_ood,weak_bucket,weak_attack,Weak attack,65,0.9692307692307692,1.0,-0.03076923076923077,-2,0.6746824998121995,0.6586818034832295,0.016000696328970054
main,weak_topology_ood,group_bucket,low_rho_low_uncertainty,Low-rho / low-u,695,0.09352517985611511,0.07482014388489208,0.018705035971223027,13,0.24790741076572337,0.2470317236811137,0.0008756870846096665
main,weak_topology_ood,group_bucket,low_rho_high_uncertainty,Low-rho / high-u,460,0.3108695652173913,0.30217391304347824,0.008695652173913049,4,0.34961451654848846,0.3399713847948157,0.009643131753672762
main,weak_topology_ood,group_bucket,high_rho_low_uncertainty,High-rho / low-u,555,0.0990990990990991,0.07747747747747748,0.021621621621621623,12,0.2491675007450688,0.24757292807639183,0.0015945726686769635
main,weak_topology_ood,group_bucket,high_rho_high_uncertainty,High-rho / high-u,455,0.4065934065934066,0.4065934065934066,0.0,0,0.38526129670195525,0.3723113091437371,0.012949987558218135
main,weak_attack_strategy_ood,weak_bucket,abstain,Abstain,1205,0.42489626556016596,0.5219917012448133,-0.09709543568464735,-117,0.30997712701188085,0.3095196229293633,0.0004575040825175458
main,weak_attack_strategy_ood,weak_bucket,weak_benign,Weak benign,895,0.01899441340782123,0.1553072625698324,-0.13631284916201117,-122,0.20444068482468247,0.21566633405632146,-0.01122564923163899
main,weak_attack_strategy_ood,weak_bucket,weak_attack,Weak attack,65,1.0,1.0,0.0,0,0.7123763597928561,0.6644537045405461,0.04792265525230999
main,weak_attack_strategy_ood,group_bucket,low_rho_low_uncertainty,Low-rho / low-u,740,0.1527027027027027,0.26756756756756755,-0.11486486486486486,-85,0.22466066463573559,0.2377632643725421,-0.013102599736806525
main,weak_attack_strategy_ood,group_bucket,low_rho_high_uncertainty,Low-rho / high-u,485,0.3711340206185567,0.4865979381443299,-0.11546391752577317,-56,0.3337151517573091,0.3261370708032982,0.007578080954010913
main,weak_attack_strategy_ood,group_bucket,high_rho_low_uncertainty,High-rho / low-u,530,0.16037735849056603,0.2943396226415094,-0.1339622641509434,-71,0.23001585006713868,0.2408283251636433,-0.010812475096504626
main,weak_attack_strategy_ood,group_bucket,high_rho_high_uncertainty,High-rho / high-u,410,0.526829268292683,0.5926829268292683,-0.06585365853658531,-27,0.3726637817010647,0.3595651114859232,0.013098670215141495
main,label_prior_shift_ood,weak_bucket,abstain,Abstain,2465,0.12332657200811359,0.11196754563894523,0.011359026369168357,28,0.4612761027430908,0.44416980549965135,0.017106297243439428
main,label_prior_shift_ood,weak_bucket,weak_benign,Weak benign,2230,0.0,0.0,0.0,0,0.3110652153802025,0.30687641434605345,0.004188801034149037
main,label_prior_shift_ood,weak_bucket,weak_attack,Weak attack,110,0.7636363636363637,0.7181818181818181,0.045454545454545525,5,0.6638497699390759,0.6347156351262873,0.029134134812788592
main,label_prior_shift_ood,group_bucket,low_rho_low_uncertainty,Low-rho / low-u,1985,0.003022670025188917,0.0020151133501259445,0.0010075566750629723,2,0.3528320235629526,0.3457151629162075,0.0071168606467451045
main,label_prior_shift_ood,group_bucket,low_rho_high_uncertainty,Low-rho / high-u,1660,0.14518072289156628,0.13373493975903614,0.01144578313253014,19,0.4335441727236093,0.4184410692697548,0.015103103453854516
main,label_prior_shift_ood,group_bucket,high_rho_low_uncertainty,High-rho / low-u,510,0.0,0.0,0.0,0,0.3446597454594631,0.3389496634988224,0.005710081960640712
main,label_prior_shift_ood,group_bucket,high_rho_high_uncertainty,High-rho / high-u,650,0.2169230769230769,0.19846153846153847,0.018461538461538446,12,0.4737125514103816,0.4543240004319411,0.0193885509784405
batch2,pooled,weak_bucket,abstain,Abstain,2013,0.5752608047690015,0.6363636363636364,-0.06110283159463481,-123,0.36381225187981003,0.40303794720607555,-0.03922569532626552
batch2,pooled,weak_bucket,weak_benign,Weak benign,3366,0.013963161021984551,0.0427807486631016,-0.02881758764111705,-97,0.20650119350839072,0.22310186919894023,-0.016600675690549516
batch2,pooled,weak_bucket,weak_attack,Weak attack,6,1.0,1.0,0.0,0,0.8533295492331187,0.8210889597733816,0.03224058945973707
batch2,pooled,group_bucket,low_rho_low_uncertainty,Low-rho / low-u,1326,0.01809954751131222,0.042986425339366516,-0.024886877828054297,-33,0.2080673024305571,0.22565452329713295,-0.017587220866575853
