setting,protocol,protocol_label,bucket,n,precision,agreement_mean,uncertainty_mean,confidence_mean,effective_trust_mean
main,weak_temporal_ood,Weak Temporal OOD,weak_attack,684,0.8932748436927795,0.9738547205924988,0.7855455875396729,0.512091875076294,0.8059583306312561
main,weak_temporal_ood,Weak Temporal OOD,weak_benign,787,0.7026683688163757,0.9725751876831055,0.6656191945075989,0.6193017959594727,0.4218129515647888
main,weak_topology_ood,Weak Topology OOD,weak_attack,676,0.9082840085029602,0.9774654507637024,0.7934837341308594,0.5054437518119812,0.8056246042251587
main,weak_topology_ood,Weak Topology OOD,weak_benign,837,0.67861407995224,0.9646554589271545,0.6849619746208191,0.6027031540870667,0.41703227162361145
main,weak_attack_strategy_ood,Weak Attack-Strategy OOD,weak_attack,822,0.9245741963386536,0.9814679622650146,0.7899501323699951,0.5098437666893005,0.8073678612709045
main,weak_attack_strategy_ood,Weak Attack-Strategy OOD,weak_benign,728,0.7802197933197021,0.9643774628639221,0.7381045818328857,0.5622467994689941,0.40631163120269775
main,label_prior_shift_ood,Label-Prior Shift OOD,weak_attack,793,0.9243379831314087,0.9815468192100525,0.7825668454170227,0.5169416069984436,0.80865478515625
main,label_prior_shift_ood,Label-Prior Shift OOD,weak_benign,614,0.5635179281234741,0.9602335095405579,0.6498819589614868,0.6282978653907776,0.42358851432800293
batch2,weak_temporal_ood,Weak Temporal OOD,weak_attack,369,0.9945799708366394,0.9983740448951721,0.7648180723190308,0.5493584275245667,0.8184910416603088
batch2,weak_temporal_ood,Weak Temporal OOD,weak_benign,903,0.8139534592628479,0.972369909286499,0.6866408586502075,0.6144846081733704,0.4183092415332794
batch2,weak_topology_ood,Weak Topology OOD,weak_attack,448,0.9977678656578064,0.9983630776405334,0.761592447757721,0.5532697439193726,0.8191978335380554
batch2,weak_topology_ood,Weak Topology OOD,weak_benign,806,0.8163771629333496,0.9749379754066467,0.6733987331390381,0.6260064244270325,0.4213087856769562
batch2,weak_attack_strategy_ood,Weak Attack-Strategy OOD,weak_attack,582,0.9982817769050598,0.999312698841095,0.7612335681915283,0.5533393621444702,0.8194358944892883
batch2,weak_attack_strategy_ood,Weak Attack-Strategy OOD,weak_benign,749,0.8785046935081482,0.9801735281944275,0.7007111310958862,0.6065871119499207,0.41641664505004883
batch2,label_prior_shift_ood,Label-Prior Shift OOD,weak_attack,409,0.995110034942627,0.9985330700874329,0.7660152912139893,0.5481212139129639,0.8183068633079529
batch2,label_prior_shift_ood,Label-Prior Shift OOD,weak_benign,661,0.7170953154563904,0.9584466814994812,0.6833937764167786,0.612545907497406,0.41734105348587036
