setting,section,method,method_label,n,weak_label_once_sec,protocol_graph_total_sec,protocol_graph_mean_sec,protocol_graph_std_sec,fixed_setup_total_sec,wall_mean_sec,wall_std_sec,train_mean_sec,train_std_sec,delta_vs_noisy_wall_sec,ratio_vs_noisy_wall,forward_mean_ms,forward_std_ms,delta_vs_noisy_forward_ms,ratio_vs_noisy_forward,node_count_mean,test_node_count_mean,window_count_mean,nodes_per_sec_mean,windows_per_sec_mean,ms_per_window_mean
main,preprocess,suite_setup,Suite setup,4,3.2706010341644287,6.517751693725586,1.6294379234313965,0.027961308254853153,9.788352727890015,,,,,,,,,,,,,,,,
main,training,noisy_ce,Noisy-CE,12,,,,,,2.5226513346036277,0.22792916109371936,0.7062069972356161,0.149871777796704,0.0,1.0,,,,,,,,,,
main,training,posterior_ce,Posterior-CE,12,,,,,,2.3991681734720864,0.26650624017289115,0.643928587436676,0.16549196770529662,-0.12348316113154123,0.9510502464459903,,,,,,,,,,
main,training,cdro_fixed,CDRO-Fixed,12,,,,,,2.5895132025082908,0.19527955250854537,0.779320220152537,0.13593351285699498,0.06686186790466309,1.0265046013246095,,,,,,,,,,
main,training,cdro_ug,CDRO-UG (sw0),12,,,,,,2.2662440141042075,0.23969642361324495,0.5914446910222372,0.15577455005524912,-0.25640732049942017,0.89835800255777,,,,,,,,,,
main,training,cdro_ug_priorcorr,CDRO-UG + PriorCorr,12,,,,,,2.3529268503189087,0.2795442609169206,0.6153535842895508,0.1469273073287503,-0.16972448428471898,0.9327198008077533,,,,,,,,,,
main,inference,noisy_ce,Noisy-CE,12,,,,,,,,,,,,72.2974804916684,4.9555423112676324,0.0,1.0,5976.0,1242.5,184.0,82993.66203856522,2555.3604108259706,0.39292108962863254
main,inference,posterior_ce,Posterior-CE,12,,,,,,,,,,,,68.97450621665939,4.610916452599922,-3.3229742750090026,0.9540374816326836,5976.0,1242.5,184.0,86993.66585693974,2678.519832275253,0.3748614468296706
main,inference,cdro_fixed,CDRO-Fixed,12,,,,,,,,,,,,68.31221488333199,5.0309901643643355,-3.9852656083364053,0.9448768396736084,5976.0,1242.5,184.0,87897.84673847147,2706.3594042635123,0.371262037409413
main,inference,cdro_ug,CDRO-UG (sw0),12,,,,,,,,,,,,72.57686091251306,8.341297945287796,0.2793804208446602,1.0038643175245485,5976.0,1242.5,184.0,83232.59499648964,2562.717115019092,0.39443946148104925
main,inference,cdro_ug_priorcorr,CDRO-UG + PriorCorr,12,,,,,,,,,,,,71.21027825833153,5.448094563448553,-1.0872022333368676,0.9849621006715144,5976.0,1242.5,184.0,84337.20799068655,2596.727956875222,0.3870123818387583
batch2,preprocess,suite_setup,Suite setup,4,1.8748037815093994,6.986987829208374,1.7467469573020935,0.0524327092576195,8.861791610717773,,,,,,,,,,,,,,,,
batch2,training,noisy_ce,Noisy-CE,12,,,,,,2.2710227568944297,0.2012804462417386,0.5804773370424906,0.1411938432297664,0.0,1.0,,,,,,,,,,
batch2,training,posterior_ce,Posterior-CE,12,,,,,,2.290997008482615,0.21918906187223344,0.571193794409434,0.1298272864189359,0.019974251588185332,1.0087952670344438,,,,,,,,,,
batch2,training,cdro_fixed,CDRO-Fixed,12,,,,,,2.192465682824453,0.1707002834272209,0.5368714928627014,0.14326138300263883,-0.0785570740699768,0.9654089445684808,,,,,,,,,,
batch2,training,cdro_ug,CDRO-UG (sw0),12,,,,,,2.1914049784342446,0.15099711042289252,0.5615797638893127,0.1425135945124965,-0.07961777846018503,0.964941884347711,,,,,,,,,,
batch2,training,cdro_ug_priorcorr,CDRO-UG + PriorCorr,12,,,,,,2.3360023697217307,0.31580259017685486,0.6205279429753622,0.1832473984249557,0.06497961282730103,1.0286124886375683,,,,,,,,,,
batch2,inference,noisy_ce,Noisy-CE,12,,,,,,,,,,,,51.57913934581112,2.0995409244726924,0.0,1.0,4698.0,988.5,153.0,91212.18867306561,2970.511891651562,0.337118557815759
batch2,inference,posterior_ce,Posterior-CE,12,,,,,,,,,,,,54.30784849166912,3.6032325847303177,2.728709145857998,1.0529033477577714,4698.0,988.5,153.0,86846.28247363554,2828.327206995794,0.35495325811548445
batch2,inference,cdro_fixed,CDRO-Fixed,12,,,,,,,,,,,,58.188647295823635,4.912642183085728,6.609507950012514,1.1281430445300613,4698.0,988.5,153.0,81263.78570881231,2646.521756800401,0.3803179561818538
batch2,inference,cdro_ug,CDRO-UG (sw0),12,,,,,,,,,,,,53.174249374992165,2.3068954939650292,1.5951100291810434,1.0309254875015783,4698.0,988.5,153.0,88504.8548413668,2882.3420159065818,0.3475441135620403
batch2,inference,cdro_ug_priorcorr,CDRO-UG + PriorCorr,12,,,,,,,,,,,,55.698633508351726,4.310651160063353,4.1194941625406045,1.0798674467001388,4698.0,988.5,153.0,84798.25320112713,2761.6289356688912,0.3640433562637368
